,state,puma,emp,emp_alum,emp_steel,emp_tariff,emp_steel_cty_emp_sh,emp_alum_cty_emp_sh,emp_tariff_cty_emp_sh,puma_name,state_abbrev,GEOID10
271,6,6703,49543.0,16.0,51.0,67.0,0.10294087963990876,0.03229517792624589,0.13523605756615464,"""Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)""",CA,0606703
272,6,6704,52556.0,20.0,63.0,83.0,0.11987213638785296,0.03805464647233427,0.15792678286018724,"""Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park""",CA,0606704
273,6,6705,52684.0,0.0,0.0,0.0,0.0,0.0,0.0,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas),CA,0606705
274,6,6706,48676.0,0.0,12.0,12.0,0.024652806311118415,0.0,0.024652806311118415,"""Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda""",CA,0606706
275,6,6707,59340.0,0.0,29.0,29.0,0.04887091338051904,0.0,0.04887091338051904,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown),CA,0606707
276,6,6708,53138.0,28.0,0.0,28.0,0.0,0.05269298806880199,0.05269298806880199,"""Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)""",CA,0606708
277,6,6709,57149.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)""",CA,0606709
278,6,6710,72575.0,0.0,68.0,68.0,0.09369617636927316,0.0,0.09369617636927316,Sacramento County (Central)--Elk Grove City,CA,0606710
279,6,6711,47408.0,31.0,217.0,248.0,0.4577286533918326,0.06538980762740466,0.5231184610192373,"""Sacramento County (South)--Galt, Isleton Cities & Delta Region""",CA,0606711
280,6,6712,50352.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)""",CA,0606712
281,6,7101,52940.0,0.0,18.0,18.0,0.03400075557234605,0.0,0.03400075557234605,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities,CA,0607101
282,6,7102,52980.0,0.0,218.0,218.0,0.4114760286900717,0.0,0.4114760286900717,San Bernardino County (West Central)--Victorville & Adelanto Cities,CA,0607102
283,6,7103,60040.0,11.0,146.0,157.0,0.24317121918720852,0.01832111925383078,0.2614923384410393,San Bernardino County (West Central)--Hesperia City & Apple Valley Town,CA,0607103
284,6,7104,44664.0,13.0,272.0,285.0,0.6089915815869604,0.029106215296435606,0.6380977968833961,"""San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City""",CA,0607104
285,6,7105,60405.0,0.0,175.0,175.0,0.2897111166294181,0.0,0.2897111166294181,San Bernardino County (Southwest)--Redlands & Yucaipa Cities,CA,0607105
286,6,7106,45245.0,67.0,258.0,325.0,0.5702287545585147,0.14808266106752127,0.7183114156260361,"""San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities""",CA,0607106
287,6,7107,40458.0,14.0,55.0,69.0,0.13594344752582926,0.03460378664293835,0.1705472341687676,San Bernardino County (Southwest)--San Bernardino City (East),CA,0607107
288,6,7108,60460.0,121.0,175.0,296.0,0.2894475686404234,0.20013231888852134,0.48957988752894477,San Bernardino County (Southwest)--San Bernardino City (West),CA,0607108
