id,emp_alum,emp_steel,emp_tariff,tariff_exp_1,tariff_exp_2,tariff_exp_5,tariff_exp_10,tariff_exp_Infinite,state_name,county_state
01001,0.036526344626061545,0.2635114862308726,0.30003783085693414,0.0038840161070839738,0.009233621308741048,0.014228587989295983,0.01487503023574066,0.01626438962232429,AL,"Autauga County, AL"
01003,0.009041795700626144,0.6645719839960216,0.6736137796966477,0.003527833790766116,0.007357279038539084,0.01130711958013547,0.011897126445794446,0.015253256332021452,AL,"Baldwin County, AL"
01005,0.017032003133888578,0.27080884982882836,0.28784085296271694,0.0036385922275061168,0.008113031052542847,0.012635004559112145,0.013309226879138736,0.014710600946007213,AL,"Barbour County, AL"
01007,0.0,0.3569233678438047,0.3569233678438047,0.0032424595022688147,0.007941366794076785,0.012739630725994435,0.013427611456185692,0.015236661283179489,AL,"Bibb County, AL"
01009,0.005045069285618189,0.9501547154580923,0.9551997847437105,0.007246655489267888,0.013478575569825537,0.01867341736816532,0.019347641010128192,0.024128730947944387,AL,"Blount County, AL"
01011,0.017032003133888578,0.27080884982882836,0.28784085296271694,0.0036385922275061168,0.008113031052542847,0.012635004559112145,0.013309226879138736,0.014710600946007213,AL,"Bullock County, AL"
01013,0.02982581722739203,0.2664439672313688,0.29626978445876084,0.0036881012494438038,0.008815148108409195,0.013745423683019288,0.01444896858489277,0.01584692582624025,AL,"Butler County, AL"
01015,0.08992617688269862,0.49145701319614365,0.5813831900788422,0.006917395623535587,0.01381077647650654,0.01978258140639706,0.020533321486200826,0.02313814186066121,AL,"Calhoun County, AL"
01017,0.0872358142670209,0.14671477853998968,0.23395059280701058,0.005377911421959043,0.012454025801908016,0.01861297229089425,0.01936131276904922,0.0202385985286751,AL,"Chambers County, AL"
01019,0.2658143213580992,0.415844490468192,0.6816588118262912,0.007117269486751855,0.0144639094664428,0.020711969436643544,0.021504076356617174,0.023970488819618902,AL,"Cherokee County, AL"
01021,0.0872358142670209,0.14671477853998968,0.23395059280701058,0.005377911421959043,0.012454025801908016,0.01861297229089425,0.01936131276904922,0.0202385985286751,AL,"Chilton County, AL"
01023,0.0,0.8456181604413494,0.8456181604413494,0.0042724875436276335,0.008701688312674268,0.013101512397138998,0.013757208739067628,0.018008774168676283,AL,"Choctaw County, AL"
01025,0.0,0.8456181604413494,0.8456181604413494,0.0042724875436276335,0.008701688312674268,0.013101512397138998,0.013757208739067628,0.018008774168676283,AL,"Clarke County, AL"
01027,0.2658143213580992,0.415844490468192,0.6816588118262912,0.007117269486751855,0.0144639094664428,0.020711969436643544,0.021504076356617174,0.023970488819618902,AL,"Clay County, AL"
01029,0.2658143213580992,0.415844490468192,0.6816588118262912,0.007117269486751855,0.0144639094664428,0.020711969436643544,0.021504076356617174,0.023970488819618902,AL,"Cleburne County, AL"
01031,0.02982581722739203,0.2664439672313688,0.29626978445876084,0.0036881012494438038,0.008815148108409195,0.013745423683019288,0.01444896858489277,0.01584692582624025,AL,"Coffee County, AL"
01033,0.7573379375294302,0.6657772196934024,1.4231151572228327,0.006156841671785608,0.011586064072396584,0.016522603487814022,0.017233124059236164,0.021611803269186967,AL,"Colbert County, AL"
01035,0.0,0.8456181604413494,0.8456181604413494,0.0042724875436276335,0.008701688312674268,0.013101512397138998,0.013757208739067628,0.018008774168676283,AL,"Conecuh County, AL"
01037,0.0872358142670209,0.14671477853998968,0.23395059280701058,0.005377911421959043,0.012454025801908016,0.01861297229089425,0.01936131276904922,0.0202385985286751,AL,"Coosa County, AL"
01039,0.02982581722739203,0.2664439672313688,0.29626978445876084,0.0036881012494438038,0.008815148108409195,0.013745423683019288,0.01444896858489277,0.01584692582624025,AL,"Covington County, AL"
01041,0.02982581722739203,0.2664439672313688,0.29626978445876084,0.0036881012494438038,0.008815148108409195,0.013745423683019288,0.01444896858489277,0.01584692582624025,AL,"Crenshaw County, AL"
01043,0.059735729134309815,0.6379775871544288,0.6977133162887387,0.006552516809144374,0.012594144288328609,0.017908410728082323,0.018630653845945366,0.02192679884756406,AL,"Cullman County, AL"
01045,0.023103393766947554,0.4219409282700422,0.44504432203698974,0.0038176306436530087,0.007677084219841542,0.011608617353407,0.012223357003452482,0.014386445335833439,AL,"Dale County, AL"
01047,0.0,0.3569233678438047,0.3569233678438047,0.0032424595022688147,0.007941366794076785,0.012739630725994435,0.013427611456185692,0.015236661283179489,AL,"Dallas County, AL"
01049,0.08503930475183041,0.7902432953767656,0.875282600128596,0.008138809153188847,0.014860898616204899,0.02060359034905055,0.021439640406629032,0.025536789552285815,AL,"DeKalb County, AL"
01051,0.036526344626061545,0.2635114862308726,0.30003783085693414,0.0038840161070839738,0.009233621308741048,0.014228587989295983,0.01487503023574066,0.01626438962232429,AL,"Elmore County, AL"
01053,0.0,0.8456181604413494,0.8456181604413494,0.0042724875436276335,0.008701688312674268,0.013101512397138998,0.013757208739067628,0.018008774168676283,AL,"Escambia County, AL"
01055,0.12917062708683677,0.4313811508371719,0.5605517779240087,0.006448957112847705,0.013055093575942367,0.018852495386446073,0.019634831390667948,0.02199465944475405,AL,"Etowah County, AL"
01057,0.0,1.1227177358153655,1.1227177358153655,0.006225326773146643,0.011747390823892145,0.01672701546446901,0.017401072354499253,0.023038330964660528,AL,"Fayette County, AL"
01059,0.7573379375294302,0.6657772196934024,1.4231151572228327,0.006156841671785608,0.011586064072396584,0.016522603487814022,0.017233124059236164,0.021611803269186967,AL,"Franklin County, AL"
